,NAME,YEAR,CMP,PATT,CMP%,PYDS,PAVG,PLNG,PTD,INT,SACK,RTG
828,Matt Grothe,2008,240,380,63.2,"2,911",7.7,47,18,14,28,135.8
829,Bo Levi Mitchell,2008,236,410,57.6,"2,865",7.0,94,24,23,26,124.4
830,Colin Kaepernick,2008,208,383,54.3,"2,849",7.4,75,22,7,16,132.1
831,Austen Arnaud,2008,247,401,61.6,"2,792",7.0,54,15,10,17,127.4
832,Dan LeFevour,2008,251,376,66.8,"2,784",7.4,93,21,6,20,144.2
833,Jevan Snead,2008,184,327,56.3,"2,762",8.4,88,26,13,20,145.5
834,Adam Weber,2008,255,410,62.2,"2,761",6.7,71,15,8,31,126.9
835,Giovanni Vizza,2008,309,493,62.7,"2,758",5.6,57,15,16,24,113.2
836,Chris Jacquemain,2008,231,399,57.9,"2,748",6.9,60,20,14,18,125.3
837,Tim Tebow,2008,192,298,64.4,"2,746",9.2,70,30,4,15,172.4
838,Joe Craddock,2008,237,367,64.6,"2,677",7.3,62,15,7,12,135.5
839,Patrick Pinkney,2008,223,363,61.4,"2,675",7.4,80,13,7,20,131.3
840,Tom Brandstater,2008,221,371,59.6,"2,664",7.2,77,18,12,17,129.4
841,Ryan Lindley,2008,242,427,56.7,"2,653",6.2,51,16,9,13,117.0
842,Andy Schmitt,2008,261,417,62.6,"2,648",6.3,53,15,8,14,124.0
843,Tyler Sheehan,2008,267,400,66.8,"2,610",6.5,48,20,9,22,133.6
844,Cullen Harper,2008,221,360,61.4,"2,601",7.2,83,13,14,29,126.2
845,Daryll Clark,2008,192,321,59.8,"2,592",8.1,70,19,6,11,143.4
846,Casey Dick,2008,205,357,57.4,"2,586",7.2,76,13,14,38,122.4
847,Lyle Moevao,2008,214,361,59.3,"2,534",7.0,56,19,13,19,128.4
848,Chris Turner,2008,214,374,57.2,"2,516",6.7,80,13,11,27,119.3
849,Rudy Carpenter,2008,213,351,60.7,"2,493",7.1,52,16,9,34,130.3
850,Hunter Cantwell,2008,221,377,58.6,"2,493",6.6,69,16,16,20,119.7
851,Jerrod Johnson,2008,194,326,59.5,"2,435",7.5,62,21,10,30,137.4
852,C.J. Bacher,2008,245,408,60.0,"2,432",6.0,53,17,15,13,116.5
853,Tony Pike,2008,199,324,61.4,"2,407",7.4,67,19,11,18,136.4
854,Brian Hoyer,2008,180,353,51.0,"2,404",6.8,82,9,9,21,111.5
855,Curtis Painter,2008,227,379,59.9,"2,400",6.3,79,13,11,15,118.6
856,Joe Webb III,2008,208,353,58.9,"2,367",6.7,43,10,16,22,115.5
857,Bill Stull,2008,188,330,57.0,"2,356",7.1,64,9,10,25,119.9
858,Boo Jackson,2008,185,306,60.5,"2,355",7.7,77,19,12,19,137.8
859,Riley Skinner,2008,232,363,63.9,"2,347",6.5,58,13,7,30,126.2
860,Corey Leonard,2008,166,306,54.2,"2,347",7.7,74,16,8,29,130.7
861,Kevin Craft,2008,232,417,55.6,"2,341",5.6,43,7,20,32,98.7
862,Paul McCall,2008,167,318,52.5,"2,332",7.3,84,15,9,26,124.0
863,Arkelon Hall,2008,191,335,57.0,"2,275",6.8,54,12,7,9,121.7
864,John Parker Wilson,2008,186,321,57.9,"2,243",7.0,64,9,7,25,121.5
865,Andy Dalton,2008,182,307,59.3,"2,242",7.3,65,11,5,14,129.2
866,Aaron Opelt,2008,225,376,59.8,"2,176",5.8,45,12,7,15,115.3
867,Thaddeus Lewis,2008,224,361,62.0,"2,171",6.0,52,15,6,16,123.0
868,Kevin Moore,2008,181,323,56.0,"2,169",6.7,57,8,13,14,112.6
869,Robert Griffin III,2008,160,267,59.9,"2,091",7.8,61,15,3,28,142.0
870,Nathan Enderle,2008,184,339,54.3,"2,077",6.1,81,20,17,33,115.2
871,Kinsmon Lancaster,2008,186,313,59.4,"2,040",6.5,69,18,7,29,128.7
872,Marc Verica,2008,226,354,63.8,"2,037",5.8,51,8,16,12,110.6
873,Levi Brown,2008,201,326,61.7,"2,030",6.2,86,15,3,9,127.3
874,Christian Ponder,2008,177,318,55.7,"2,006",6.3,54,14,13,19,115.0
875,Daniel Raudabaugh,2008,201,343,58.6,"1,960",5.7,50,8,9,8,109.0
876,Ricky Stanzi,2008,150,254,59.1,"1,956",7.7,59,14,9,22,134.8
877,Russell Wilson,2008,150,275,54.5,"1,955",7.1,67,17,1,25,133.9
878,Chris Smelley,2008,169,302,56.0,"1,922",6.4,66,14,15,17,114.8
879,Adam DiMichele,2008,134,231,58.0,"1,911",8.3,51,18,6,17,148.0
880,Greg Alexander,2008,154,245,62.9,"1,895",7.7,82,14,5,32,142.6
881,Omar Clayton,2008,152,258,58.9,"1,894",7.3,48,18,4,7,140.5
882,Cody Hawkins,2008,183,320,57.2,"1,892",5.9,68,17,10,19,118.1
883,Michael Desormeaux,2008,155,247,62.8,"1,876",7.6,82,13,11,15,135.0
884,Jarrett Lee,2008,143,269,53.2,"1,873",7.0,66,13,16,8,115.7
885,Pat White,2008,180,274,65.7,"1,844",6.7,52,21,7,16,142.4
886,Julian Edelman,2008,153,275,55.6,"1,820",6.6,82,13,11,20,118.8
887,Mark Cann,2008,154,307,50.2,"1,767",5.8,88,14,13,11,105.1
888,Jeremiah Masoli,2008,136,239,56.9,"1,744",7.3,76,13,5,15,132.0
889,Chris Crane,2008,169,307,55.0,"1,721",5.6,57,10,13,5,104.4
890,Diondre Borel,2008,136,242,56.2,"1,705",7.0,62,11,10,25,122.1
891,Mike Hartline,2008,172,311,55.3,"1,666",5.4,71,9,8,5,104.7
892,Tavita Pritchard,2008,147,254,57.9,"1,633",6.4,61,10,13,18,114.6
893,Kyle Reed,2008,162,253,64.0,"1,563",6.2,77,9,6,23,122.9
894,Chandler Harnish,2008,118,211,55.9,"1,528",7.2,91,8,9,7,120.7
895,Tyson Lee,2008,153,260,58.8,"1,519",5.8,41,7,5,25,113.0
896,Dustin Sherer,2008,104,191,54.5,"1,389",7.3,49,6,5,21,120.7
897,Kevin Riley,2008,112,221,50.7,"1,360",6.2,59,14,6,19,117.8
898,Ronnie Fouch,2008,113,250,45.2,"1,339",5.4,62,4,13,20,85.1
899,Terrelle Pryor Sr.,2008,100,165,60.6,"1,311",7.9,56,12,4,21,146.5
900,Cameron Dantley,2008,121,251,48.2,"1,298",5.2,38,11,5,24,102.1
901,Robert Marve,2008,116,213,54.5,"1,293",6.1,69,9,13,18,107.2
902,Cameron Sexton,2008,94,168,56.0,"1,261",7.5,74,9,6,14,129.5
903,Jacory Harris,2008,118,194,60.8,"1,195",6.2,41,12,7,11,125.8
904,Inoke Funaki,2008,100,173,57.8,"1,184",6.8,53,7,12,21,114.8
905,T.J. Yates,2008,81,135,60.0,"1,168",8.7,73,11,4,13,153.6
906,Ross Jenkins,2008,92,174,52.9,"1,155",6.6,68,7,3,21,118.5
907,Kellen Lewis,2008,110,193,57.0,"1,131",5.9,79,6,8,14,108.2
908,Steven Threet,2008,102,200,51.0,"1,105",5.5,51,9,7,15,105.3
909,Nate Longshore,2008,93,164,56.7,"1,051",6.4,74,10,4,5,125.8
910,Kodi Burns,2008,94,179,52.5,"1,050",5.9,52,2,7,8,97.7
911,Jamie Hampton,2008,107,174,61.5,"1,046",6.0,45,9,8,4,119.9
912,Brad Gruner,2008,99,183,54.1,"1,037",5.7,81,3,6,7,100.6
913,Tyrod Taylor,2008,99,173,57.2,"1,036",6.0,40,2,7,20,103.2
914,Ben Chappell,2008,80,153,52.3,"1,001",6.5,77,4,3,11,111.9
915,Brian Brunner,2008,65,101,64.4,981,9.7,79,6,2,10,161.6
916,Allan Evridge,2008,71,132,53.8,949,7.2,42,5,5,8,119.1
917,David Wolke,2008,93,189,49.2,940,5.0,62,6,9,12,91.9
918,Chris Todd,2008,86,156,55.1,903,5.8,58,5,6,12,106.6
919,Jonathan Crompton,2008,86,167,51.5,889,5.3,63,4,5,10,98.1
920,Mackenzi Adams,2008,77,156,49.4,882,5.7,79,5,8,12,97.2
921,Taylor Bennett,2008,66,167,39.5,873,5.2,57,2,6,4,80.2
922,Tyler Lorenzen,2008,79,162,48.8,869,5.4,43,3,8,10,90.1
923,Kevin Lopina,2008,87,153,56.9,841,5.5,48,0,11,23,88.7
924,Nick Stephens,2008,63,130,48.5,840,6.5,60,4,3,13,108.3
925,Stephen Garcia,2008,65,122,53.3,832,6.8,41,6,8,15,113.7
926,Joshua Nesbitt,2008,54,123,43.9,808,6.6,47,2,5,12,96.3
927,Mike Clausen,2008,70,125,56.0,767,6.1,33,5,2,7,117.5
928,Sean Glennon,2008,65,108,60.2,743,6.9,62,3,5,20,117.9
929,Dominique Davis,2008,63,138,45.7,741,5.4,55,6,4,10,99.3
930,Sean Canfield,2008,56,84,66.7,703,8.4,75,6,2,2,155.8
931,Rob Calabrese,2008,65,165,39.4,664,4.0,62,7,5,22,81.1
932,Chris Stutzriem,2008,55,98,56.1,660,6.7,69,5,5,1,119.3
933,Tim Jefferson Jr.,2008,44,80,55.0,655,8.2,74,5,3,4,136.9
934,Sean Setzer,2008,57,99,57.6,653,6.6,51,5,4,7,121.6
935,Clay Belton,2008,63,115,54.8,639,5.6,53,2,3,11,102.0
936,Todd Boeckman,2008,57,93,61.3,620,6.7,48,5,2,8,130.7
937,Dustin Grutza,2008,44,66,66.7,613,9.3,69,5,1,4,166.7
938,Nick Sheridan,2008,63,137,46.0,613,4.5,45,2,5,6,81.1
939,Justin Roper,2008,48,92,52.2,610,6.6,62,3,4,1,109.9
940,Harrison Beck,2008,34,80,42.5,592,7.4,49,2,7,2,95.4
941,Stephen McGee,2008,56,85,65.9,586,6.9,54,2,2,8,126.9
942,Kyle McMahon,2008,45,73,61.6,574,7.9,63,2,4,4,125.8
943,Michael Greco,2008,52,107,48.6,571,5.3,56,5,4,9,101.4
944,Marshall Lobbestael,2008,53,103,51.5,571,5.5,53,4,4,12,103.1
945,Wesley Carroll,2008,55,114,48.2,560,4.9,50,3,7,8,85.9
946,Chris Nickson,2008,61,127,48.0,545,4.3,49,8,3,12,100.1
947,Randall Cobb,2008,52,99,52.5,542,5.5,37,2,5,7,95.1
948,Zach Frazer,2008,46,83,55.4,536,6.5,47,2,6,4,103.2
949,Chester Stewart,2008,53,106,50.0,524,4.9,58,4,7,12,90.8
950,Chazz Anderson,2008,46,75,61.3,520,6.9,41,2,3,9,120.4
951,Jake Locker,2008,50,93,53.8,512,5.5,48,1,0,10,103.6
952,Justin Siller,2008,59,106,55.7,496,4.7,35,3,2,8,100.5
953,Pat Devlin,2008,25,47,53.2,459,9.8,80,4,0,2,163.3
954,Nathan Dick,2008,36,62,58.1,454,7.3,87,4,2,4,134.4
955,Myles Eden,2008,38,61,62.3,452,7.4,63,2,5,3,119.0
956,Dan Nicholson,2008,42,69,60.9,447,6.5,34,3,3,7,120.9
957,Dax Crum,2008,53,101,52.5,429,4.2,29,2,6,11,82.8
958,Jordan Jefferson,2008,36,73,49.3,419,5.7,41,4,1,9,112.9
959,Shea Smith,2008,30,57,52.6,413,7.2,53,4,3,0,126.1
960,Cody Endres,2008,39,84,46.4,411,4.9,34,0,3,1,80.4
961,Logan Turner,2008,33,65,50.8,410,6.3,35,5,2,1,123.0
962,Jake Christensen,2008,36,63,57.1,396,6.3,40,2,1,5,117.2
963,Tyler Graunke,2008,30,58,51.7,388,6.7,42,3,4,3,111.2
964,Marcus Jackson,2008,35,62,56.5,372,6.0,45,3,2,2,116.4
965,Donovan Porterie,2008,50,75,66.7,372,5.0,28,0,5,6,95.0
966,Peter Lalich,2008,39,74,52.7,359,4.9,25,0,3,3,85.3
967,Gary Rogers,2008,34,68,50.0,352,5.2,43,2,4,4,91.4
968,Joe Kemp,2008,26,46,56.5,344,7.5,42,2,1,4,129.3
969,Brett Toney,2008,31,53,58.5,338,6.4,36,3,2,5,123.2
970,Mike Kafka,2008,32,46,69.6,330,7.2,36,2,3,7,131.1
971,Jaybo Shaw,2008,15,24,62.5,321,13.4,88,2,1,4,194.0
972,Rob Kass,2008,25,55,45.5,321,5.8,42,2,2,6,99.2
973,D'Vontrey Richardson,2008,23,44,52.3,315,7.2,39,3,3,3,121.3
974,Kirk Cousins,2008,32,43,74.4,310,7.2,32,2,1,2,145.7
975,Kaipo-Noa Kaheaku-Enhada,2008,18,35,51.4,305,8.7,41,3,1,2,147.2
976,Brian Anderson,2008,22,39,56.4,305,7.8,48,3,1,2,142.4
977,Karsten Sween,2008,34,70,48.6,304,4.3,40,0,6,5,67.9
978,Sean Flynn,2008,32,63,50.8,298,4.7,58,0,1,4,87.4
979,Carson Coffman,2008,25,41,61.0,282,6.9,51,1,2,0,117.0
980,Andrew Hatch,2008,25,45,55.6,282,6.3,29,2,1,5,118.4
981,Chip Bowden,2008,31,72,43.1,282,3.9,47,2,3,8,76.8
982,Tyler Hansen,2008,34,65,52.3,280,4.3,29,1,4,7,81.3
983,Jarod Bryant,2008,19,37,51.4,275,7.4,68,2,3,7,115.4
984,Carson Williams,2008,26,53,49.1,273,5.2,59,1,3,4,87.2
985,Pat Bostick,2008,22,41,53.7,270,6.6,37,1,4,5,97.5
986,Darron Thomas,2008,16,33,48.5,268,8.1,41,3,1,3,140.6
987,Taylor Potts,2008,23,36,63.9,260,7.2,27,2,1,0,137.3
988,Klay Kubiak,2008,19,37,51.4,252,6.8,63,0,2,5,97.8
989,Wayne Younger,2008,18,33,54.5,249,7.5,61,1,0,3,127.9
990,Theo Scott,2008,29,44,65.9,247,5.6,26,1,2,1,111.5
991,J.J. McDermott,2008,20,34,58.8,246,7.2,55,0,2,5,107.8
992,John Brantley,2008,18,28,64.3,235,8.4,38,3,1,1,163.0
993,Brad McGuire,2008,20,30,66.7,233,7.8,35,2,2,5,140.6
994,K.J. Black,2008,22,41,53.7,227,5.5,32,1,0,7,108.2
995,Willy Korn,2008,26,38,68.4,216,5.7,36,1,1,3,119.6
996,Ricky Dobbs,2008,9,16,56.3,212,13.3,40,1,1,1,175.7
997,Drew Westling,2008,27,56,48.2,206,3.7,34,0,2,8,72.0
998,Anthony Magazu,2008,11,23,47.8,205,8.9,81,1,0,1,137.0
999,Blake Joseph,2008,14,21,66.7,201,9.6,59,1,0,2,162.8
1000,Case Keenum,2009,492,700,70.3,"5,671",8.1,58,44,15,16,154.8
1001,Levi Brown,2009,321,504,63.7,"4,254",8.4,70,23,9,24,146.1
1002,Tyler Sheehan,2009,373,575,64.9,"4,052",7.0,59,27,7,29,137.1
1003,Jimmy Clausen,2009,289,425,68.0,"3,722",8.8,88,28,4,24,161.4
1004,Ryan Mallett,2009,225,403,55.8,"3,627",9.0,83,30,7,24,152.5
1005,Todd Reesing,2009,313,496,63.1,"3,616",7.3,74,22,10,31,134.9
1006,Blaine Gabbert,2009,262,445,58.9,"3,593",8.1,84,24,9,19,140.5
1007,Jerrod Johnson,2009,296,497,59.6,"3,579",7.2,70,30,8,27,136.7
1008,Max Hall,2009,275,409,67.2,"3,560",8.7,80,33,14,22,160.1
1009,Kellen Moore,2009,277,431,64.3,"3,536",8.2,67,39,3,5,161.7
1010,Colt McCoy,2009,332,470,70.6,"3,521",7.5,88,27,12,30,147.4
1011,Taylor Potts,2009,309,470,65.7,"3,440",7.3,79,22,13,15,137.1
1012,Dan LeFevour,2009,318,456,69.7,"3,438",7.5,82,28,7,17,150.3
1013,Mike Kafka,2009,319,492,64.8,"3,430",7.0,66,16,12,27,129.3
1014,Jacory Harris,2009,242,406,59.6,"3,352",8.3,69,24,17,34,140.1
1015,Thaddeus Lewis,2009,274,449,61.0,"3,330",7.4,74,20,8,25,134.5
1016,Trevor Vittatoe,2009,224,409,54.8,"3,308",8.1,80,17,13,22,130.1
1017,Sean Canfield,2009,303,446,67.9,"3,271",7.3,87,21,7,26,141.9
1018,Tim Hiller,2009,309,514,60.1,"3,258",6.3,73,23,13,24,123.1
1019,Landry Jones,2009,261,449,58.1,"3,198",7.1,67,26,14,12,130.8
1020,Riley Skinner,2009,264,400,66.0,"3,160",7.9,80,25,12,28,147.0
1021,Ryan Lindley,2009,239,437,54.7,"3,054",7.0,78,23,16,15,123.4
1022,Russell Wilson,2009,224,378,59.3,"3,027",8.0,80,31,11,30,147.8
1023,Joey Elliott,2009,267,433,61.7,"3,026",7.0,67,22,13,19,131.1
1024,Daryll Clark,2009,232,381,60.9,"3,003",7.9,79,24,10,15,142.6
1025,Patrick Pinkney,2009,259,440,58.9,"2,948",6.7,59,15,12,13,120.9
1026,Ben Chappell,2009,268,428,62.6,"2,941",6.9,56,17,15,15,126.4
1027,Nathan Enderle,2009,192,312,61.5,"2,906",9.3,73,22,9,20,157.3
1028,Tim Tebow,2009,213,314,67.8,"2,895",9.2,80,21,5,29,164.2
1029,Diondre Borel,2009,214,366,58.5,"2,885",7.9,85,17,4,31,137.8
1030,Stephen Garcia,2009,239,432,55.3,"2,862",6.6,80,17,10,37,119.3
1031,Kevin Riley,2009,209,382,54.7,"2,850",7.5,61,18,8,30,128.7
1032,Jonathan Crompton,2009,224,384,58.3,"2,800",7.3,51,27,13,18,136.0
1033,Jake Locker,2009,230,395,58.2,"2,800",7.1,51,21,11,28,129.7
1034,Dwight Dasher,2009,219,399,54.9,"2,789",7.0,80,23,14,17,125.6
1035,Andy Dalton,2009,199,323,61.6,"2,756",8.5,75,23,8,12,151.8
1036,Matt Barkley,2009,211,352,59.9,"2,735",7.8,75,15,14,17,131.3
1037,G.J. Kinne,2009,210,345,60.9,"2,732",7.9,63,22,10,44,142.6
1038,Christian Ponder,2009,227,330,68.8,"2,717",8.2,98,14,7,15,147.7
1039,Scott Tolzien,2009,211,328,64.3,"2,705",8.2,80,16,11,21,143.0
1040,Zach Maynard,2009,218,379,57.5,"2,694",7.1,67,18,15,17,125.0
1041,Kirk Cousins,2009,198,328,60.4,"2,680",8.2,73,19,9,12,142.6
1042,Brian Anderson,2009,231,398,58.0,"2,646",6.6,60,14,13,24,119.0
1043,Bill Stull,2009,209,321,65.1,"2,633",8.2,79,21,8,14,150.6
1044,Jevan Snead,2009,191,351,54.4,"2,632",7.5,65,20,20,15,124.8
1045,Zac Dysert,2009,247,401,61.6,"2,614",6.5,50,12,16,51,118.3
1046,Chris Todd,2009,198,328,60.4,"2,612",8.0,93,22,6,21,145.7
1047,Joe Cox,2009,185,331,55.9,"2,584",7.8,65,24,15,11,136.3
1048,Adam Weber,2009,191,367,52.0,"2,582",7.0,62,13,15,38,114.7
1049,Andrew Luck,2009,162,288,56.3,"2,575",8.9,63,13,4,6,143.5
1050,Kyle Parker,2009,205,369,55.6,"2,526",6.8,77,20,12,13,124.4
1051,Tony Pike,2009,211,338,62.4,"2,520",7.5,68,29,6,12,149.8
1052,Greg McElroy,2009,198,325,60.9,"2,508",7.7,80,17,4,18,140.5
1053,Nick Foles,2009,260,409,63.6,"2,486",6.1,71,19,9,11,125.6
1054,Ryan Colburn,2009,181,298,60.7,"2,459",8.3,92,19,11,20,143.7
1055,Brett Hodges,2009,197,329,59.9,"2,438",7.4,76,17,13,24,131.3
1056,Ricky Stanzi,2009,171,304,56.3,"2,417",8.0,92,17,15,23,131.6
1057,Donovan Porterie,2009,249,432,57.6,"2,411",5.6,61,12,13,37,107.7
1058,Chris Masson,2009,222,373,59.5,"2,406",6.4,57,10,8,9,118.3
1059,Bryant Moniz,2009,182,319,57.1,"2,396",7.5,71,14,10,21,128.4
1060,Theo Scott,2009,199,344,57.8,"2,369",6.9,65,20,11,19,128.5
1061,Paul McCall,2009,208,370,56.2,"2,343",6.3,65,14,8,26,117.6
1062,Tyrod Taylor,2009,136,243,56.0,"2,311",9.5,81,13,5,28,149.4
1063,Joe Webb III,2009,162,271,59.8,"2,299",8.5,77,21,8,24,150.7
1064,Omar Clayton,2009,196,326,60.1,"2,230",6.8,75,13,12,12,123.4
1065,Tom Savage,2009,149,285,52.3,"2,211",7.8,81,14,7,35,128.7
1066,Jordan Jefferson,2009,182,296,61.5,"2,166",7.3,58,17,7,34,137.2
1067,Jeremiah Masoli,2009,177,305,58.0,"2,147",7.0,73,15,6,10,129.5
1068,Spencer Keith,2009,168,294,57.1,"2,147",7.3,58,14,11,8,126.7
1069,Jarrett Brown,2009,187,296,63.2,"2,144",7.2,58,11,9,20,130.2
1070,Zac Lee,2009,177,302,58.6,"2,143",7.1,74,14,10,18,126.9
1071,T.J. Yates,2009,214,355,60.3,"2,136",6.0,70,14,15,24,115.4
1072,Ross Jenkins,2009,172,290,59.3,"2,095",7.2,50,17,5,26,135.9
1073,Terrelle Pryor Sr.,2009,167,295,56.6,"2,094",7.1,76,18,11,22,128.9
1074,Zac Robinson,2009,180,301,59.8,"2,084",6.9,51,15,12,10,126.4
1075,Chris Turner,2009,180,303,59.4,"2,069",6.8,67,10,10,25,121.1
1076,Colin Kaepernick,2009,166,282,58.9,"2,052",7.3,56,20,6,13,139.1
1077,Kevin Prince,2009,173,308,56.2,"2,050",6.7,58,8,8,17,115.5
1078,Tate Forcier,2009,165,281,58.7,"2,050",7.3,76,13,10,25,128.1
1079,Dave Shinskie,2009,149,288,51.7,"2,049",7.1,66,15,14,15,119.0
1080,Greg Paulus,2009,193,285,67.7,"2,025",7.1,66,13,14,20,132.6
1081,Austen Arnaud,2009,178,303,58.7,"2,015",6.7,54,14,13,12,121.3
1082,Aaron Opelt,2009,154,261,59.0,"1,997",7.7,70,16,10,5,135.8
1083,B.J. Daniels,2009,122,227,53.7,"1,983",8.7,85,14,9,32,139.5
1084,Riley Dodge,2009,205,303,67.7,"1,975",6.5,69,9,15,10,122.3
1085,Austyn Carta-Samuels,2009,191,326,58.6,"1,953",6.0,54,10,5,30,116.0
1086,Danny Sullivan,2009,168,312,53.8,"1,939",6.2,80,10,9,13,110.9
1087,Jordan La Secla,2009,182,304,59.9,"1,926",6.3,80,10,11,26,116.7
1088,Kyle Padron,2009,135,201,67.2,"1,922",9.6,75,10,4,22,159.9
1089,Rusty Smith,2009,145,253,57.3,"1,915",7.6,70,14,5,7,135.2
1090,Grant Stucker,2009,133,251,53.0,"1,874",7.5,57,12,12,15,121.9
1091,Martevious Young,2009,132,230,57.4,"1,861",8.1,95,16,3,8,145.7
1092,Jameel Sewell,2009,157,292,53.8,"1,848",6.3,69,7,7,39,110.0
1093,Nick Florence,2009,165,266,62.0,"1,786",6.7,59,6,9,19,119.1
1094,Trey Revell,2009,121,210,57.6,"1,739",8.3,75,12,12,11,134.6
1095,Bo Levi Mitchell,2009,149,266,56.0,"1,725",6.5,96,12,10,11,117.9
1096,Joshua Nesbitt,2009,75,162,46.3,"1,701",10.5,87,10,5,12,148.7
1097,Chandler Harnish,2009,143,223,64.1,"1,670",7.5,45,11,6,10,137.9
1098,Juice Williams,2009,131,227,57.7,"1,632",7.2,58,12,7,23,129.4
1099,Terrance Cain,2009,137,215,63.7,"1,624",7.6,90,11,5,13,139.4
1100,Nick Fanuzzi,2009,162,270,60.0,"1,598",5.9,80,11,8,12,117.2
1101,Will Hudgens,2009,143,236,60.6,"1,544",6.5,62,7,6,11,120.2
1102,Kawaun Jakes,2009,148,244,60.7,"1,516",6.2,48,9,9,27,117.6
1103,Zach Frazer,2009,116,218,53.2,"1,461",6.7,52,10,9,7,116.4
1104,Tyson Lee,2009,130,221,58.8,"1,444",6.5,69,4,14,19,107.0
1105,Tyler Hansen,2009,129,231,55.8,"1,440",6.2,58,8,7,33,113.6
1106,Zach Collaros,2009,93,124,75.0,"1,434",11.6,81,10,2,2,195.5
1107,Greg Alexander,2009,98,150,65.3,"1,433",9.6,73,9,4,12,160.0
1108,Corey Leonard,2009,114,211,54.0,"1,416",6.7,59,7,6,20,115.7
1109,Vaughn Charlton,2009,107,213,50.2,"1,390",6.5,75,10,11,13,110.2
1110,Ryan Griffin,2009,141,222,63.5,"1,382",6.2,46,9,6,15,123.8
1111,Jeff Van Camp,2009,109,184,59.2,"1,372",7.5,52,12,2,13,141.2
1112,Adam Froman,2009,111,185,60.0,"1,354",7.3,92,6,5,20,126.8
1113,Cody Endres,2009,98,154,63.6,"1,354",8.8,88,6,4,14,145.2
1114,Patrick Nicely,2009,120,222,54.1,"1,349",6.1,59,6,6,14,108.6
1115,Jordan Wynn,2009,104,179,58.1,"1,329",7.4,69,8,4,7,130.7
1116,Cody Hawkins,2009,121,239,50.6,"1,279",5.4,44,10,11,11,100.2
1117,Steven Sheffield,2009,101,136,74.3,"1,219",9.0,72,14,4,8,177.6
1118,Austin Davis,2009,108,156,69.2,"1,165",7.5,49,10,2,9,150.6
1119,Larry Smith,2009,106,227,46.7,"1,126",5.0,54,4,7,20,88.0
1120,Grant Gregory,2009,100,175,57.1,"1,096",6.3,54,4,4,15,112.7
1121,Joe Kemp,2009,84,130,64.6,"1,038",8.0,68,4,6,14,132.6
1122,Ricky Dobbs,2009,56,105,53.3,"1,031",9.8,85,6,3,19,149.0
1123,Kelly Page,2009,109,207,52.7,"1,019",4.9,50,7,9,18,96.5
1124,Austin Dantin,2009,79,119,66.4,962,8.1,48,4,4,10,138.7
1125,Ryan Aplin,2009,77,118,65.3,889,7.5,64,3,6,11,126.8
1126,Carson Coffman,2009,71,117,60.7,863,7.4,64,2,4,10,121.4
1127,Tim Jefferson Jr.,2009,53,93,57.0,848,9.1,73,5,2,9,147.0
1128,EJ Manuel,2009,69,106,65.1,817,7.7,43,2,6,5,124.7
1129,Mike Hartline,2009,79,133,59.4,802,6.0,55,6,7,4,114.4
1130,Brian Reader,2009,47,81,58.0,801,9.9,69,6,6,5,150.7
1131,Jeff Fleming,2009,87,172,50.6,789,4.6,34,4,12,16,82.8
1132,Jeff Tuel,2009,71,121,58.7,789,6.5,99,6,5,28,121.6
1133,Keith Nichol,2009,49,91,53.8,764,8.4,91,7,3,2,143.2
1134,Alex Gillett,2009,68,137,49.6,763,5.6,48,3,7,12,93.4
1135,Cody Wells,2009,64,115,55.7,762,6.6,39,6,7,5,116.4
1136,Kevin Craft,2009,60,107,56.1,722,6.7,51,2,3,3,113.3
1137,Morgan Newton,2009,75,135,55.6,706,5.2,60,6,3,10,109.7
1138,Tyler Bass,2009,53,81,65.4,673,8.3,85,6,4,2,149.8
1139,Daniel Raudabaugh,2009,70,131,53.4,670,5.1,42,3,5,7,96.3
1140,Marshall Lobbestael,2009,67,144,46.5,655,4.5,64,3,8,19,80.5
1141,Justin Burke,2009,49,97,50.5,654,6.7,66,3,5,8,107.0
1142,Nathan Tune,2009,69,107,64.5,646,6.0,60,5,2,2,126.9
1143,Trent Steelman,2009,54,110,49.1,637,5.8,34,3,2,8,103.1
1144,Kyle McMahon,2009,56,106,52.8,634,6.0,77,4,4,7,108.0
1145,Mackenzi Adams,2009,64,125,51.2,630,5.0,47,2,3,4,94.0
1146,Blake Szymanski,2009,55,89,61.8,605,6.8,57,1,5,7,111.4
1147,Kevin Lopina,2009,54,103,52.4,596,5.8,46,2,3,5,101.6
1148,Tanner Justice,2009,51,105,48.6,594,5.7,36,2,5,13,92.9
1149,Sam Bradford,2009,39,69,56.5,562,8.1,64,2,0,2,134.5
1150,Bryant Moniz,2010,361,555,65.0,"5,040",9.1,80,39,15,38,159.1
1151,Landry Jones,2010,405,617,65.6,"4,718",7.6,86,38,12,19,146.3
1152,Brandon Weeden,2010,342,511,66.9,"4,277",8.4,81,34,13,8,154.1
1153,Dominique Davis,2010,393,609,64.5,"3,967",6.5,77,37,16,15,134.0
1154,Ryan Mallett,2010,266,411,64.7,"3,869",9.4,89,32,12,25,163.7
1155,Kellen Moore,2010,273,383,71.3,"3,845",10.0,83,35,6,6,182.6
1156,Ryan Lindley,2010,243,421,57.7,"3,830",9.1,90,28,14,9,149.4
1157,Kyle Padron,2010,302,508,59.4,"3,828",7.5,82,31,14,31,137.4
1158,Corey Robinson,2010,321,505,63.6,"3,726",7.4,79,28,15,23,137.9
