,NAME,COLLEGE,YEAR,QBR,PAA,PLAYS,EPA,PASS,RUN,SACK,PEN,RAW,HT/WT,DOB,DRAFT_STATUS
197,Riley Skinner,WAKE,2006,62.6,7.6,356,22.5,42.6,-3.2,-16.2,-0.8,55.5,na,na,na
198,Sam Hollenbach,MD,2006,61.9,6.7,407,20.8,32.4,1.4,-14.0,1.0,54.3,na,9/9/1983,na
199,Jeff Rowe,NEV,2006,60.1,21.7,388,31.8,34.1,12.5,-17.9,3.3,64.2,na,3/21/1984,"2007: Rd 5, Pk 151 (CIN)"
200,Paul Smith,TLSA,2006,59.7,31.2,477,47.7,54.5,2.7,-8.4,-1.2,66.4,na,7/2/1984,na
201,Drew Tate,IOWA,2006,58.5,8.6,423,25.4,36.5,0.7,-11.8,0.1,55.2,na,na,na
202,John Parker Wilson,ALA,2006,58.1,4.7,513,27.6,38.4,7.4,-20.5,2.7,52.4,na,10/17/1985,na
203,Matt Ryan,BC,2006,57.7,6.4,518,28.5,38.8,2.1,-14.3,1.9,53.2,"6' 4"", 217 lbs",5/17/1985 (35),"2008: Rd 1, Pk 3 (ATL)"
204,Justin Willis,SMU,2006,57.1,23.0,445,38.3,51.1,1.9,-18.1,3.2,63.1,na,na,na
205,John Stocco,WISC,2006,56.8,2.5,342,16.0,31.1,1.4,-18.3,1.8,51.9,na,na,na
206,Matt Grothe,USF,2006,56.6,9.8,533,31.5,42.4,2.8,-13.9,0.2,54.8,na,na,na
207,Jordan Palmer,UTEP,2006,56.4,27.6,527,45.4,60.0,-3.1,-13.4,2.3,63.3,na,5/30/1984,"2007: Rd 6, Pk 205 (WSH)"
208,Chase Clement,RICE,2006,55.7,17.7,409,33.0,28.0,13.0,-9.8,1.9,61.1,na,na,na
209,Brett Ratliff,UTAH,2006,55.5,15.3,541,34.7,44.7,-0.4,-9.0,-0.5,57.3,na,8/8/1985,na
210,Drew Stanton,MSU,2006,54.4,7.4,412,21.9,18.6,19.7,-13.4,-2.8,54.6,na,5/7/1984,"2007: Rd 2, Pk 43 (DET)"
211,Drew Weatherford,FSU,2006,53.8,-8.9,408,9.9,30.5,-10.3,-11.4,0.8,44.3,na,na,na
212,Brandon Cox,AUB,2006,53.5,-9.8,352,6.3,40.2,-10.3,-23.8,0.2,42.8,na,na,na
213,Jeff Ballard,TCU,2006,53.5,17.5,458,31.1,31.1,9.6,-9.1,-0.5,59.8,na,na,na
214,Jeremy Young,USM,2006,53.2,2.2,410,19.0,25.6,4.1,-12.0,1.3,51.4,na,na,na
215,Will Proctor,CLEM,2006,53.0,-6.4,398,10.9,27.0,-5.1,-11.0,-0.1,45.9,na,na,na
216,Martin Hankins,MEM,2006,52.4,10.3,442,26.8,33.8,-0.9,-8.4,2.2,56.0,na,na,na
217,Matthew Stafford,UGA,2006,52.0,-8.3,333,6.7,10.7,7.8,-10.5,-1.5,43.5,"6' 3"", 220 lbs",2/7/1988 (32),"2009: Rd 1, Pk 1 (DET)"
218,Curtis Painter,PUR,2006,51.9,7.5,654,32.9,40.6,2.8,-13.2,2.7,53.0,na,6/24/1985,"2009: Rd 6, Pk 201 (IND)"
219,Patrick Cowan,UCLA,2006,51.6,-17.1,368,0.5,9.1,-1.5,-8.6,1.7,38.2,na,3/23/1986,na
220,Adam Tafralis,SJSU,2006,51.1,11.2,392,26.3,42.5,-1.1,-11.8,-3.3,57.4,na,na,na
221,Shaun Carney,AFA,2006,50.8,1.2,353,15.7,21.0,2.7,-11.8,3.8,50.9,na,na,na
222,Steven Moffett,UCF,2006,50.8,-0.8,263,10.0,21.2,-0.8,-8.9,-1.5,49.2,na,na,na
223,Mike Teel,RUTG,2006,50.3,-3.8,346,9.9,16.9,-0.9,-6.0,0.2,47.1,na,1/6/1986,"2009: Rd 6, Pk 178 (SEA)"
224,Kellen Lewis,IU,2006,50.1,-1.3,500,17.7,22.3,8.0,-12.6,0.3,49.3,na,na,na
225,Shawn Bell,BAY,2006,50.0,-6.2,455,13.2,31.6,-3.1,-15.0,0.1,46.5,na,na,na
226,James Pinkney,ECU,2006,49.1,3.2,537,26.2,44.1,-3.3,-17.3,3.0,51.5,na,na,na
227,Bret Meyer,ISU,2006,49.0,-10.9,556,12.5,25.8,6.2,-20.0,0.1,44.9,na,na,na
228,Caleb Jeffrey Hanie,CSU,2006,47.7,1.0,485,20.4,39.7,4.1,-24.2,0.8,50.5,na,9/11/1985,na
229,Joe Dailey,UNC,2006,47.0,-13.1,259,-0.6,9.8,-5.1,-4.5,-0.6,37.1,na,na,na
230,Nate Davis,BALL,2006,46.9,-1.6,297,10.3,23.2,-5.1,-10.0,2.2,48.6,na,5/25/1987,"2009: Rd 5, Pk 171 (SF)"
231,Sean Glennon,VT,2006,44.9,-24.2,408,-3.8,18.1,-0.8,-23.0,2.0,35.1,na,9/5/1985,na
232,Reggie Ball,GT,2006,44.9,-19.9,464,2.2,1.0,9.7,-14.0,5.8,39.0,na,10/6/1984,na
233,Julian Edelman,KENT,2006,44.7,14.3,461,30.1,21.4,19.5,-11.9,1.1,58.0,"5' 10"", 198 lbs",5/22/1986 (34),"2009: Rd 7, Pk 232 (NE)"
234,Rudy Carpenter,ASU,2006,44.7,-20.7,473,1.6,28.9,-5.0,-19.8,-2.4,38.8,na,4/15/1986,na
235,Dustin Grutza,CIN,2006,44.0,-16.5,343,0.0,16.2,0.1,-15.3,-1.1,37.8,na,na,na
236,Daniel Evans,NCST,2006,43.6,-21.5,386,-2.6,9.5,-1.7,-9.6,-0.6,35.9,na,na,na
237,Lester Ricard,TULN,2006,43.6,-3.9,489,15.6,33.9,-0.7,-15.8,-1.7,47.9,na,12/11/1983,na
238,Phil Horvath,NIU,2006,43.5,-1.9,331,11.3,22.6,-2.0,-10.6,1.5,48.5,na,10/4/1983,na
239,Anthony Morelli,PSU,2006,43.0,-20.8,470,1.5,17.3,-3.2,-15.9,3.3,38.7,na,5/21/1985,na
240,Kyle Wright,MIAMI,2006,42.8,-14.2,333,1.6,17.5,-1.7,-14.6,0.3,39.1,na,10/18/1984,na
241,Anthony Turner,BGSU,2006,41.3,-1.8,414,16.0,19.0,2.2,-6.8,0.9,48.8,na,na,na
242,Bernard Morris,MRSH,2006,41.1,-5.0,299,8.1,16.7,2.0,-10.4,-0.2,45.6,na,na,na
243,Mike Kokal,M-OH,2006,40.5,-5.9,527,18.3,31.0,11.5,-25.1,1.0,47.1,na,na,na
244,Omar Haugabook,TROY,2006,40.2,-14.2,572,11.3,21.8,9.9,-18.9,-1.5,43.6,na,na,na
245,Bernard Jackson,COLO,2006,39.2,-30.8,403,-9.7,-1.0,9.1,-16.3,-1.4,31.1,na,na,na
246,Tom Brandstater,FRES,2006,36.4,-10.2,326,4.8,8.7,1.0,-5.4,0.5,42.0,na,10/21/1984,"2009: Rd 6, Pk 174 (DEN)"
247,Ryan Cubit,WMU,2006,35.4,-17.8,438,2.9,21.4,-4.8,-12.0,-1.8,39.6,na,na,na
248,Karsten Sween,WYO,2006,35.2,-16.5,295,-1.9,17.1,-3.6,-15.9,0.5,35.9,na,na,na
249,Luke Getsy,AKR,2006,35.2,-34.7,509,-8.0,12.0,1.9,-19.9,-2.1,33.0,na,2/16/1984,na
250,Jameel Sewell,UVA,2006,34.9,-32.9,366,-11.6,4.0,2.7,-17.1,-1.0,28.2,na,na,na
251,Clint Marks,MTSU,2006,34.1,-16.4,362,0.8,18.7,-1.4,-16.2,-0.3,38.4,na,na,na
252,Josh Freeman,KSU,2006,34.0,-32.7,358,-11.9,2.6,1.8,-15.4,-0.8,27.9,na,1/13/1988,"2009: Rd 1, Pk 17 (TB)"
253,Chris Williams,UAB,2006,33.8,-11.4,251,0.6,9.9,-1.4,-7.2,-0.7,38.4,na,na,na
254,Andy Schmitt,EMU,2006,33.8,-16.9,342,-0.4,4.7,1.0,-5.7,-0.3,37.4,na,na,na
255,Perry Patterson,SYR,2006,33.8,-38.7,432,-15.4,20.6,-9.1,-27.4,0.5,28.3,na,na,na
256,Kinsmon Lancaster,ULM,2006,33.4,-21.7,406,-2.0,8.6,-1.6,-7.4,-1.3,36.4,na,na,na
257,Willie Tuitama,ARIZ,2006,33.4,-27.2,271,-12.8,6.0,-5.1,-15.0,1.2,26.1,na,na,na
258,Steven Wichman,IDHO,2006,30.3,-23.9,410,-3.5,7.6,1.1,-12.2,0.1,35.3,na,na,na
259,Chris Nelson,UNM,2006,30.0,-20.4,274,-5.3,13.0,-7.3,-11.9,0.9,31.6,na,na,na
260,Kerry Meier,KU,2006,29.8,-18.8,300,-3.7,10.1,-1.7,-11.8,-0.7,34.3,na,11/12/1986,"2010: Rd 5, Pk 165 (ATL)"
261,Zac Champion,LT,2006,29.5,-28.2,479,-3.8,6.2,1.9,-15.3,3.4,35.2,na,na,na
262,Rocky Hinds,UNLV,2006,28.9,-32.9,447,-7.9,3.3,-3.7,-10.2,2.6,31.8,na,na,na
263,Brent Schaeffer,MISS,2006,28.5,-41.0,371,-19.7,0.4,-5.9,-15.7,1.7,24.1,na,na,na
264,Jerry Babb,ULL,2006,28.1,-24.8,399,-4.6,3.0,5.2,-11.1,-1.7,34.4,na,na,na
265,Corey Leonard,ARST,2006,27.9,-18.1,365,-0.4,4.1,11.3,-15.4,-0.4,37.4,na,na,na
266,Tyler Jones,EMU,2006,25.6,-19.9,240,-7.8,1.7,0.5,-8.6,-1.5,29.7,na,na,na
267,Thaddeus Lewis,DUKE,2006,24.6,-65.0,486,-32.3,1.0,-12.9,-22.7,2.2,19.9,na,11/19/1987,na
268,Austen Everson,OHIO,2006,24.5,-37.9,384,-16.0,3.2,-11.5,-8.3,0.7,26.4,na,na,na
269,Drew Willy,BUFF,2006,23.7,-26.5,329,-7.4,8.5,-1.9,-12.6,-1.4,30.2,na,11/13/1986,na
270,Aaron Opelt,TOL,2006,21.9,-23.9,274,-7.5,-4.6,3.5,-6.3,0.0,28.7,na,na,na
271,David Pevoto,ARMY,2006,17.8,-37.2,249,-20.5,-8.7,-5.8,-7.4,1.4,17.5,na,na,na
272,Josh Padrick,FIU,2006,17.7,-62.5,477,-33.2,-7.8,-8.2,-17.3,0.1,20.4,na,na,na
273,Adam DiMichele,TEM,2006,16.3,-46.4,320,-19.4,7.7,-4.9,-20.8,-1.4,18.1,na,7/26/1985,na
274,Tim Tebow,FLA,2007,86.5,81.2,616,87.0,66.9,28.8,-6.9,-1.7,79.7,na,8/14/1987,"2010: Rd 1, Pk 25 (DEN)"
275,Dennis Dixon,ORE,2007,85.8,46.5,377,54.8,37.6,25.5,-8.7,0.3,78.3,na,1/11/1985,"2008: Rd 5, Pk 156 (PIT)"
276,Pat White,WVU,2007,83.3,60.8,433,69.3,32.7,39.8,-5.0,1.8,81.1,na,2/25/1986,"2009: Rd 2, Pk 44 (MIA)"
277,Chase Daniel,MIZ,2007,80.5,78.2,706,89.2,93.2,4.9,-12.2,3.2,76.0,"6' 0"", 225 lbs",10/7/1986 (34),na
278,Sam Bradford,OKLA,2007,79.8,51.5,426,56.8,63.1,0.3,-7.5,1.2,77.9,na,11/8/1987,"2010: Rd 1, Pk 1 (STL)"
279,Brian Brohm,LOU,2007,78.5,55.0,576,68.1,74.1,7.3,-16.0,2.9,72.9,na,9/23/1985,"2008: Rd 2, Pk 56 (GB)"
280,Zac Robinson,OKST,2007,77.3,51.8,514,59.0,48.6,12.1,-2.4,0.8,74.0,na,9/29/1986,"2010: Rd 7, Pk 250 (NE)"
281,Erik Ainge,TENN,2007,75.1,40.3,581,59.0,61.3,-1.7,-4.0,2.9,67.3,na,6/12/1986,"2008: Rd 5, Pk 162 (NYJ)"
282,Graham Harrell,TTU,2007,75.1,90.8,804,102.2,112.2,2.5,-12.3,-0.2,76.4,na,5/22/1985,na
283,Tom Brandstater,FRES,2007,73.8,44.4,437,52.0,53.3,7.6,-9.4,0.5,74.2,na,10/21/1984,"2009: Rd 6, Pk 174 (DEN)"
284,Colt Brennan,HAW,2007,73.7,66.6,636,77.4,91.5,-5.4,-13.0,4.4,74.8,na,8/16/1983,"2008: Rd 6, Pk 186 (WSH)"
285,Taylor Tharp,BSU,2007,73.6,54.2,527,63.2,76.2,-4.8,-9.8,1.0,74.4,na,na,na
286,Colin Kaepernick,NEV,2007,72.2,38.4,383,45.3,32.5,26.2,-10.6,-2.2,73.9,na,11/3/1987,"2011: Rd 2, Pk 36 (SF)"
287,Paul Smith,TLSA,2007,71.6,77.7,695,93.3,106.1,2.1,-16.5,1.4,76.2,na,7/2/1984,na
288,Dan LeFevour,CMU,2007,70.8,82.0,779,94.7,54.8,49.3,-11.9,2.3,74.9,na,3/19/1987,"2010: Rd 6, Pk 181 (CHI)"
289,Alex Brink,WSU,2007,70.5,24.0,609,44.2,46.0,3.8,-12.1,6.5,60.1,na,6/2/1985,"2008: Rd 7, Pk 223 (HOU)"
290,Kellen Lewis,IU,2007,70.3,59.7,634,70.1,54.4,29.8,-20.6,6.5,72.7,na,na,na
291,Ben Mauk,CIN,2007,69.9,35.5,558,55.8,60.8,8.5,-13.1,-0.2,66.0,na,na,na
292,Case Keenum,HOU,2007,69.7,41.1,408,53.9,45.8,16.3,-7.4,-0.9,74.0,"6' 1"", 215 lbs",2/17/1988 (32),na
293,Max Hall,BYU,2007,68.7,28.6,610,49.3,59.1,3.4,-16.7,3.5,62.0,na,10/1/1985,na
294,Andre' Woodson,UK,2007,67.6,27.3,646,52.1,87.3,-6.8,-27.6,0.4,60.8,na,4/25/1984,"2008: Rd 6, Pk 198 (NYG)"
295,Kevin O'Connell,SDSU,2007,67.4,20.3,586,38.2,30.3,24.1,-15.1,-1.0,58.9,na,na,na
296,Matt Flynn,LSU,2007,66.9,15.2,500,35.3,35.4,18.0,-16.7,-1.2,57.8,na,6/20/1985,"2008: Rd 7, Pk 209 (GB)"
297,Todd Boeckman,OSU,2007,66.0,21.6,403,33.7,41.0,2.9,-10.9,0.7,63.6,na,6/8/1984,na
298,Colt McCoy,TEX,2007,66.0,27.5,582,46.3,48.3,9.4,-13.5,2.4,62.1,"6' 1"", 212 lbs",9/5/1986 (34),"2010: Rd 3, Pk 85 (CLE)"
299,Andy Schmitt,EMU,2007,65.5,26.1,358,35.9,20.8,18.2,-5.9,3.0,68.1,na,na,na
300,Matthew Stafford,UGA,2007,65.4,13.5,432,29.8,40.3,-0.7,-12.2,2.3,58.0,"6' 3"", 220 lbs",2/7/1988 (32),"2009: Rd 1, Pk 1 (DET)"
301,John David Booty,USC,2007,65.4,6.5,397,20.7,36.3,-7.0,-8.9,0.2,54.2,na,1/3/1985,"2008: Rd 5, Pk 137 (MIN)"
302,Jake Locker,WASH,2007,65.0,3.9,540,27.0,1.3,33.7,-10.5,2.3,51.9,na,6/15/1988,"2011: Rd 1, Pk 8 (TEN)"
303,Kaipo-Noa Kaheaku-Enhada,NAVY,2007,64.5,15.2,308,27.5,12.8,18.1,-5.8,1.3,62.6,na,na,na
304,Rudy Carpenter,ASU,2007,64.5,7.6,530,28.7,63.1,1.8,-36.6,0.4,53.7,na,4/15/1986,na
305,Tyler Donovan,WISC,2007,64.5,19.8,492,36.6,43.1,13.9,-19.4,-1.1,60.3,na,na,na
306,Mike Teel,RUTG,2007,64.3,23.9,396,35.8,38.7,0.5,-6.1,2.7,65.2,na,1/6/1986,"2009: Rd 6, Pk 178 (SEA)"
307,Nate Longshore,CAL,2007,64.3,5.8,451,24.9,34.4,-4.7,-6.1,1.3,53.3,na,na,na
308,Todd Reesing,KU,2007,63.6,31.6,564,45.2,51.9,6.5,-14.7,1.7,64.2,na,na,na
309,Matt Ryan,BC,2007,63.5,14.6,798,47.7,62.3,1.8,-18.0,1.5,54.7,"6' 4"", 217 lbs",5/17/1985 (35),"2008: Rd 1, Pk 3 (ATL)"
310,Cullen Harper,CLEM,2007,63.4,10.5,556,30.1,48.3,-1.9,-18.6,2.3,54.9,na,na,na
311,Martin Hankins,MEM,2007,63.4,43.3,502,58.1,60.2,0.7,-5.2,2.0,71.0,na,na,na
312,Willie Tuitama,ARIZ,2007,63.3,0.3,639,25.5,45.1,-4.5,-19.9,4.6,50.1,na,na,na
313,Riley Skinner,WAKE,2007,63.3,15.9,416,31.8,41.1,4.8,-13.7,-0.4,59.8,na,na,na
314,Matt Grothe,USF,2007,61.6,11.8,640,36.9,30.1,24.9,-19.9,1.6,54.8,na,na,na
315,Sean Glennon,VT,2007,60.8,2.4,323,15.3,34.9,-0.4,-19.4,0.2,51.9,na,9/5/1985,na
316,Chris Turner,MD,2007,59.8,-3.1,321,10.7,28.1,-2.6,-14.2,-0.8,47.5,na,na,na
317,Bernard Morris,MRSH,2007,59.8,27.2,575,43.2,50.2,8.8,-17.5,1.7,62.0,na,na,na
318,Caleb Jeffrey Hanie,CSU,2007,59.7,6.0,417,22.0,42.7,1.4,-22.6,0.5,53.7,na,9/11/1985,na
319,Cody Hawkins,COLO,2007,59.5,3.1,555,24.7,33.2,-0.5,-8.5,0.4,51.4,na,na,na
320,Shaun Carney,AFA,2007,59.3,11.5,373,25.4,31.7,4.0,-9.3,-1.0,57.9,na,na,na
321,Adam Tafralis,SJSU,2007,58.9,23.9,535,42.9,47.0,3.2,-10.7,3.4,61.4,na,na,na
322,Nate Davis,BALL,2007,57.8,35.1,601,54.8,55.1,13.4,-15.7,2.0,64.7,na,5/25/1987,"2009: Rd 5, Pk 171 (SF)"
323,Curtis Painter,PUR,2007,57.0,25.6,677,44.6,52.3,4.2,-15.4,3.5,59.7,na,6/24/1985,"2009: Rd 6, Pk 201 (IND)"
324,Omar Haugabook,TROY,2007,56.4,33.4,672,51.4,33.5,26.8,-11.5,2.7,62.6,na,na,na
325,Sam Keller,NEB,2007,56.1,2.6,386,16.7,33.2,-7.8,-8.5,0.1,51.7,na,na,na
326,Casey Dick,ARK,2007,55.8,-2.8,301,8.9,17.4,-2.1,-6.2,-0.2,47.6,na,na,na
327,Anthony Morelli,PSU,2007,55.7,1.3,482,21.0,39.7,-6.3,-13.0,0.6,50.7,na,5/21/1985,na
328,Josh Freeman,KSU,2007,55.3,3.1,604,25.6,38.1,0.2,-11.5,-1.5,51.3,na,1/13/1988,"2009: Rd 1, Pk 17 (TB)"
329,Stephen McGee,TA&M,2007,55.2,3.7,593,24.6,15.0,21.8,-9.9,-2.3,51.6,na,9/27/1985,"2009: Rd 4, Pk 101 (DAL)"
330,Drew Weatherford,FSU,2007,55.0,0.8,416,17.1,26.3,1.0,-9.3,-0.8,50.5,na,na,na
331,Chase Holbrook,NMSU,2007,54.8,22.3,639,44.9,58.9,1.4,-14.1,-1.1,59.0,na,na,na
332,Blake Mitchell,SC,2007,54.3,-7.2,308,6.4,14.9,0.5,-9.1,0.1,43.9,na,na,na
333,Brandon Cox,AUB,2007,53.8,-11.3,400,7.4,24.2,-1.3,-16.4,1.0,42.7,na,na,na
334,C.J. Bacher,NW,2007,53.6,15.1,651,39.9,48.1,4.2,-18.0,5.6,56.0,na,na,na
335,Dwight Dasher,MTSU,2007,53.3,17.2,305,26.8,20.8,8.1,-6.2,4.0,64.3,na,na,na
336,Brian Hoyer,MSU,2007,53.0,-5.5,456,15.3,31.7,4.7,-21.5,0.1,46.9,"6' 2"", 216 lbs",10/13/1985 (34),na
337,Rusty Smith,FAU,2007,52.8,22.4,563,44.0,56.7,-4.5,-9.9,1.5,60.2,na,1/28/1987,"2010: Rd 6, Pk 176 (TEN)"
338,Leon Jackson,USU,2007,52.5,3.6,355,16.5,19.8,10.7,-13.2,-0.7,52.7,na,na,na
339,Tyler Sheehan,BGSU,2007,52.4,26.1,604,44.8,45.4,14.0,-15.3,-0.1,61.0,na,11/17/1987,na
340,Jameel Sewell,UVA,2007,51.9,-11.1,530,12.7,21.7,4.8,-16.6,2.9,44.6,na,na,na
341,Adam Weber,MINN,2007,51.7,3.6,634,27.8,28.6,5.9,-6.8,0.5,51.5,na,8/3/1987,na
342,John Parker Wilson,ALA,2007,51.3,-17.8,594,9.4,14.1,6.7,-17.3,5.9,42.3,na,10/17/1985,na
343,Bret Meyer,ISU,2007,51.0,-1.4,504,18.5,19.6,5.9,-9.6,2.5,49.3,na,na,na
344,Mackenzi Adams,VAN,2007,50.5,-9.8,301,3.8,15.2,-5.3,-8.0,1.9,41.7,na,na,na
345,Andy Dalton,TCU,2007,50.5,-9.7,504,12.6,34.3,-7.3,-14.1,-0.3,45.0,"6' 2"", 220 lbs",10/29/1987 (32),"2011: Rd 2, Pk 35 (CIN)"
346,Kyle Israel,UCF,2007,49.9,8.2,428,24.3,25.8,3.1,-8.7,4.0,54.9,na,na,na
347,Tim Hiller,WMU,2007,49.5,12.0,527,31.5,50.6,-2.6,-15.2,-1.1,55.9,na,12/13/1986,na
348,Chad Henne,MICH,2007,49.1,-2.3,330,12.6,29.4,-2.5,-13.9,-0.3,48.2,"6' 3"", 222 lbs",7/2/1985 (35),"2008: Rd 2, Pk 57 (MIA)"
349,Trevor Vittatoe,UTEP,2007,48.3,7.5,483,26.4,44.5,-0.8,-18.0,1.2,54.0,na,1/4/1988,na
350,Michael Desormeaux,ULL,2007,48.0,1.1,474,20.9,-4.1,36.3,-9.9,-1.1,50.6,na,9/29/1985,na
351,Donovan Porterie,UNM,2007,47.7,-5.0,523,17.4,35.0,-3.3,-14.7,-0.2,47.5,na,na,na
352,Justin Willis,HOU/SMU,2007,46.8,11.6,641,36.9,28.5,23.6,-18.6,3.4,54.7,na,na,na
353,Aaron Opelt,TOL,2007,46.8,6.3,322,18.1,20.6,1.5,-2.7,-1.0,55.1,na,na,na
354,T.J. Yates,UNC,2007,46.8,-22.8,479,0.2,26.0,-3.9,-22.7,1.1,37.9,na,5/28/1987,"2011: Rd 5, Pk 152 (HOU)"
355,Drew Willy,BUFF,2007,46.6,4.0,470,20.6,36.7,-0.5,-17.7,2.0,52.2,na,11/13/1986,na
356,Chase Clement,RICE,2007,46.2,21.5,703,45.2,37.6,23.9,-18.4,2.3,57.9,na,na,na
357,Brian Johnson,UTAH,2007,45.4,-5.4,381,10.9,27.2,-1.6,-13.7,-1.0,46.3,na,na,na
358,Tyler Lorenzen,CONN,2007,44.6,-16.5,536,7.8,30.2,-3.1,-20.4,1.1,42.1,na,12/24/1985,na
359,Patrick Pinkney,ECU,2007,43.9,-11.5,322,3.4,11.3,2.5,-7.0,-3.4,40.9,na,na,na
360,Daniel Evans,NCST,2007,43.9,-23.0,414,-2.7,11.0,0.7,-14.5,0.1,35.9,na,na,na
361,Kinsmon Lancaster,ULM,2007,43.8,-1.2,448,17.8,19.4,9.0,-9.0,-1.6,49.3,na,na,na
362,Taylor Bennett,GT,2007,43.4,-21.8,405,-2.1,7.6,2.9,-13.2,0.6,36.4,na,na,na
363,Jeremy Young,USM,2007,43.4,-2.9,324,11.3,13.8,6.0,-8.8,0.4,47.7,na,na,na
364,Seth Adams,MISS,2007,42.8,-20.6,381,-2.0,14.0,-6.2,-13.1,3.3,36.3,na,na,na
365,T.C. Ostrander,STAN,2007,40.6,-23.6,275,-8.4,9.0,-1.8,-16.3,0.6,29.1,na,na,na
366,Daniel Raudabaugh,M-OH,2007,40.5,-6.7,454,11.8,18.2,1.2,-9.6,2.0,46.2,na,na,na
367,Tavita Pritchard,STAN,2007,40.3,-29.5,286,-14.2,-0.3,0.8,-17.1,2.3,25.5,na,na,na
368,Sean Canfield,ORST,2007,39.6,-33.9,340,-13.9,0.6,0.5,-15.3,0.2,26.2,na,11/12/1986,"2010: Rd 7, Pk 239 (NO)"
369,Kyle Wright,MIAMI,2007,39.0,-24.8,361,-5.8,12.7,-7.5,-11.7,0.8,32.9,na,10/18/1984,na
370,Wesley Carroll,MSST,2007,38.4,-24.6,326,-6.9,2.2,-3.0,-5.6,-0.3,31.4,na,9/6/1967,na
371,Adam DiMichele,TEM,2007,38.0,0.0,324,13.0,22.7,5.7,-13.7,-1.8,50.0,na,7/26/1985,na
372,Corey Leonard,ARST,2007,37.8,-9.9,562,14.5,17.5,13.5,-17.9,1.4,45.5,na,na,na
373,Anthony Scelfo,TULN,2007,37.0,-5.0,290,7.7,11.3,3.7,-7.3,0.0,45.5,na,na,na
374,Blake Szymanski,BAY,2007,37.0,-27.4,558,-0.5,8.8,-0.9,-10.4,2.1,37.5,na,na,na
375,Travis Dixon,UNLV,2007,36.8,-29.5,471,-5.7,17.8,-11.3,-12.7,0.7,34.3,na,na,na
376,Sam Hunt,UAB,2007,35.9,-21.2,443,0.1,-7.9,10.1,-4.4,2.3,37.8,na,na,na
377,Zac Champion,LT,2007,35.4,-30.0,532,-3.6,16.2,0.4,-21.3,1.4,35.8,na,na,na
378,Andrew Robinson,SYR,2007,34.1,-33.8,429,-10.5,18.9,-3.5,-26.4,0.5,30.6,na,na,na
379,Karsten Sween,WYO,2007,32.5,-37.2,481,-12.1,9.8,-7.6,-18.6,4.1,30.9,na,na,na
380,Thaddeus Lewis,DUKE,2007,32.3,-42.8,497,-15.1,20.5,-9.4,-27.0,0.5,29.0,na,11/19/1987,na
381,Julian Edelman,KENT,2007,31.8,-17.9,342,-1.3,5.6,7.5,-11.7,-2.7,36.7,"5' 10"", 198 lbs",5/22/1986 (34),"2009: Rd 7, Pk 232 (NE)"
382,Pat Bostick,PITT,2007,31.7,-23.6,313,-6.5,4.0,-1.3,-9.9,0.5,31.4,na,na,na
383,Dan Nicholson,NIU,2007,30.6,-14.0,290,-0.1,9.4,-2.4,-5.9,-1.0,37.7,na,na,na
384,Brad Bower,OHIO,2007,29.8,-19.7,331,-3.4,15.1,-5.9,-12.7,0.0,35.0,na,na,na
385,Jake Christensen,IOWA,2007,27.6,-40.7,504,-13.9,17.8,-2.6,-27.0,-2.1,30.2,na,na,na
386,Chris Jacquemain,AKR,2007,26.6,-28.7,354,-10.5,7.6,-5.7,-13.7,1.4,30.1,na,na,na
387,Jimmy Clausen,ND,2007,25.7,-43.3,337,-21.3,5.4,-3.1,-23.1,-0.5,20.8,na,9/21/1987,"2010: Rd 2, Pk 48 (CAR)"
388,Giovanni Vizza,UNT,2007,23.8,-27.0,562,0.0,20.8,-5.1,-14.7,-0.6,37.8,na,na,na
389,Wayne Younger,FIU,2007,21.8,-52.0,419,-21.8,-13.3,4.1,-10.8,-2.0,21.6,na,na,na
390,Carson Williams,ARMY,2007,20.8,-37.8,349,-17.4,0.9,-3.3,-14.4,-0.8,24.5,na,na,na
391,Nathan Enderle,IDHO,2007,15.3,-59.1,378,-29.3,-13.7,-6.0,-11.6,2.2,16.4,na,1/12/1988,"2011: Rd 5, Pk 160 (CHI)"
392,Sam Bradford,OKLA,2008,91.9,113.3,585,102.7,105.9,2.7,-6.5,0.6,88.2,na,11/8/1987,"2010: Rd 1, Pk 1 (STL)"
393,Colt McCoy,TEX,2008,87.9,101.4,619,103.5,91.6,20.0,-15.0,6.7,84.6,"6' 1"", 212 lbs",9/5/1986 (34),"2010: Rd 3, Pk 85 (CLE)"
394,Tim Tebow,FLA,2008,85.9,61.6,515,68.5,53.2,23.3,-7.2,-0.8,77.6,na,8/14/1987,"2010: Rd 1, Pk 25 (DEN)"
395,Mark Sanchez,USC,2008,84.4,50.6,459,55.4,66.7,1.6,-11.2,-1.6,75.9,na,11/11/1986,"2009: Rd 1, Pk 5 (NYJ)"
396,Chase Daniel,MIZ,2008,79.9,79.2,623,84.2,84.0,6.5,-9.0,2.8,78.9,"6' 0"", 225 lbs",10/7/1986 (34),na
397,Zac Robinson,OKST,2008,79.9,54.9,506,63.1,52.8,17.7,-9.4,2.3,75.5,na,9/29/1986,"2010: Rd 7, Pk 250 (NE)"
398,Chase Clement,RICE,2008,78.8,103.1,689,108.0,86.8,29.9,-12.9,4.0,82.6,na,na,na
